file,line,feature,staticOrDynamicImport,importPath,importedSymbols,needsImportUpdateOnMove,testWorkspaceImpact,tmpReference
tmp/check_app_providers_layout_move_cc1.mjs,37,tmp,reference,(reference),,True,False,True
tmp/check_app_providers_layout_move_cc1.mjs,64,tmp,reference,(reference),,False,False,True
src/app/autorestore/page.tsx,5,app,static,"import AutoRestoreWorkspace from ""../../components/autorestore/AutoRestoreWorkspace"";",AutoRestoreWorkspace,True,False,False
src/app/autorestore/page.tsx,11,app,reference,(reference),,False,False,False
tmp/codex_frontend_autorestore_to_restore_precheck.py,19,tmp,reference,(reference),,True,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,21,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,104,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,192,tmp,static,"""currentImport"": ""import AutoRestoreWorkspace from \""../../components/autorestore/AutoRestoreWorkspace\"";"" in route_text,",,True,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,193,tmp,reference,(reference),,True,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,194,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,230,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,274,tmp,static,"""summary"": ""Move AutoRestoreWorkspace.tsx to src/components/restore/AutoRestoreWorkspace.tsx and update src/app/autorestore/page.tsx import path only."",",,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,284,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,285,tmp,reference,(reference),,True,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,286,tmp,static,"""src/app/autorestore/page.tsx import path가 ../../components/restore/AutoRestoreWorkspace인지 확인"",",,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,297,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,330,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_autorestore_to_restore_precheck.py,386,tmp,reference,(reference),,True,False,True
