file,importPath,importedSymbols,feature,needsImportUpdateOnMove,testWorkspaceImpact
src/common/utils/cleanJsonBuilder.ts,@/lib/invoiceTableDisplay,"{ INVOICE_TABLE_COL_PRIORITY, hasMeaningfulTableValue, normalizeTableCell, }",common,True,False
src/components/history/DetailHistoryView.tsx,@/lib/invoiceTableDisplay,"React, { useEffect, useMemo, useState } from ""react""; import { type HistoryRunRecord, type HistoryOutputField, updateHistoryRun, getOriginalHistoryImage, getProcessedHistoryImage, syncHistoryIndexAndDetailOnSave, syncHistoryDetailTableRowsOnSave, } from ""@/lib/historyStore""; import { buildInvoicePreviewCols, normalizeTableCell, }",history,True,False
src/components/runocr/ui/OcrResultPanel.tsx,@/lib/invoiceTableDisplay,"React, { useEffect, useMemo, useRef, useState } from ""react""; import Markdown from ""react-markdown""; import remarkGfm from ""remark-gfm""; import type { AutofillAction, AutofillRunSummary, AutofillSuggestion, OutputValueSource } from ""@/lib/autofillEngine""; import { getGroundTruth, compareToGt, fieldKey } from ""@/lib/groundTruthStore""; import { useUi } from ""../../common/AppProviders""; import { INVOICE_COL_LABEL_MAP as _ALL_COL_LABEL_MAP, isInternalTableKey as isInternalKey, normalizeTableCell as normalizeCell, isMeaninglessTableValue as isMeaningless, hasMeaningfulTableValue as hasMeaningfulValue, buildInvoicePreviewCols, }",runocr,True,False
src/components/test/TestWorkspace.tsx,@/lib/invoiceTableDisplay,"React, { useCallback, useEffect, useMemo, useRef, useState } from ""react""; import { extractBizNumber, normalizeBizNumber } from ""@/lib/bizNumber""; import { useUi } from ""../common/AppProviders""; import { INVOICE_COL_LABEL_MAP, shouldDisplayRowIndex }",test,True,True
tmp/check_clean_json_v1_fixtures_js.mjs,@/lib/invoiceTableDisplay,,unknown,True,False
tmp/check_clean_json_v1_fixtures_js.mjs,./invoiceTableDisplay,,unknown,True,False
tmp/check_lib_clean_json_builder_common_move_1d.mjs,@/lib/invoiceTableDisplay,,unknown,True,False
tmp/codex_frontend_lib_clean_json_builder_common_move_precheck.py,@/lib/invoiceTableDisplay,,unknown,True,False
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,@/lib/invoiceTableDisplay,,unknown,True,False
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,@/common/utils/invoiceTableDisplay,,unknown,False,False
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,../lib/invoiceTableDisplay,,unknown,True,False
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,../../lib/invoiceTableDisplay,,unknown,True,False
tmp/codex_frontend_lib_invoice_table_display_common_move_precheck.py,./invoiceTableDisplay,,unknown,True,False
